Core: system_acl_iface_ddr3a_p0 - Instance: system_inst|acl_iface|ddr3a
Path, Setup Margin, Hold Margin
"Address Command (Slow 900mV 85C Model)",0.199,0.202
"Bus Turnaround Time (Slow 900mV 85C Model)",0.964,--
"Core (Slow 900mV 85C Model)",0.219,0.107
"Core Recovery/Removal (Slow 900mV 85C Model)",1.022,0.243
"Postamble (Slow 900mV 85C Model)",0.222,0.222
"Read Capture (Slow 900mV 85C Model)",0.083,0.059
"Read Resync (Slow 900mV 85C Model)",1.515,11.117
"Write (Slow 900mV 85C Model)",0.078,0.078
"Write Leveling tDQSS (Slow 900mV 85C Model)",0.309,0.309
"Write Leveling tDSS/tDSH (Slow 900mV 85C Model)",0.345,0.345
"Address Command (Slow 900mV 0C Model)",0.238,0.204
"Bus Turnaround Time (Slow 900mV 0C Model)",1.013,--
"Core (Slow 900mV 0C Model)",0.224,0.065
"Core Recovery/Removal (Slow 900mV 0C Model)",1.085,0.292
"Postamble (Slow 900mV 0C Model)",0.238,0.238
"Read Capture (Slow 900mV 0C Model)",0.099,0.075
"Read Resync (Slow 900mV 0C Model)",1.568,11.165
"Write (Slow 900mV 0C Model)",0.11,0.11
"Write Leveling tDQSS (Slow 900mV 0C Model)",0.309,0.309
"Write Leveling tDSS/tDSH (Slow 900mV 0C Model)",0.345,0.345
"Address Command (Fast 900mV 85C Model)",0.248,0.23
"Bus Turnaround Time (Fast 900mV 85C Model)",1.143,--
"Core (Fast 900mV 85C Model)",0.128,0.088
"Core Recovery/Removal (Fast 900mV 85C Model)",1.499,0.206
"Postamble (Fast 900mV 85C Model)",0.237,0.237
"Read Capture (Fast 900mV 85C Model)",0.111,0.087
"Read Resync (Fast 900mV 85C Model)",1.764,11.394
"Write (Fast 900mV 85C Model)",0.11,0.11
"Write Leveling tDQSS (Fast 900mV 85C Model)",0.309,0.309
"Write Leveling tDSS/tDSH (Fast 900mV 85C Model)",0.345,0.345
"Address Command (Fast 900mV 0C Model)",0.286,0.214
"Bus Turnaround Time (Fast 900mV 0C Model)",1.156,--
"Core (Fast 900mV 0C Model)",0.129,0.121
"Core Recovery/Removal (Fast 900mV 0C Model)",1.541,0.198
"Postamble (Fast 900mV 0C Model)",0.201,0.201
"Read Capture (Fast 900mV 0C Model)",0.117,0.093
"Read Resync (Fast 900mV 0C Model)",1.76,11.383
"Write (Fast 900mV 0C Model)",0.125,0.125
"Write Leveling tDQSS (Fast 900mV 0C Model)",0.309,0.309
"Write Leveling tDSS/tDSH (Fast 900mV 0C Model)",0.345,0.345
